country;iso_code;income_status;continent;subcontinent;mig_rate;edu_exp;youth_unempl_rate
Saint Helena, Ascension, and Tristan da Cunha;SHN;.;Africa;Sub-Saharan Africa;0;.;.
Serbia;SRB;UM;Europe;Southern Europe;0;3.6;29.7
Thailand;THA;UM;Asia;South-eastern Asia;0;4.1;3.7
Togo;TGO;L;Africa;Sub-Saharan Africa;0;5.4;3.9
Zambia;ZMB;LM;Africa;Sub-Saharan Africa;0;4.6;24
Afghanistan;AFG;L;Asia;Southern Asia;-0.1;4.1;17.6
Argentina;ARG;UM;Americas;Latin America and the Caribbean;-0.1;5.5;23.7
Brazil;BRA;UM;Americas;Latin America and the Caribbean;-0.1;6.3;28.5
Chad;TCD;L;Africa;Sub-Saharan Africa;-0.1;2.5;.
Panama;PAN;H;Americas;Latin America and the Caribbean;-0.1;3.2;10.2
Paraguay;PRY;UM;Americas;Latin America and the Caribbean;-0.1;3.4;14.5
Angola;AGO;LM;Africa;Sub-Saharan Africa;-0.2;3.4;39.4
Ethiopia;ETH;.;Africa;Sub-Saharan Africa;-0.2;4.7;25.2
Kenya;KEN;LM;Africa;Sub-Saharan Africa;-0.2;5.3;7.4
Nigeria;NGA;LM;Africa;Sub-Saharan Africa;-0.2;.;13.8
Romania;ROU;H;Europe;Eastern Europe;-0.2;3.1;16.2
South Africa;ZAF;UM;Africa;Sub-Saharan Africa;-0.2;6.5;53.4
Yemen;YEM;L;Asia;Western Asia;-0.2;.;24.5
Barbados;BRB;H;Americas;Latin America and the Caribbean;-0.3;4.4;29.6
Bolivia;BOL;LM;Americas;Latin America and the Caribbean;-0.3;7.3;6.9
Bulgaria;BGR;H;Europe;Eastern Europe;-0.3;4.1;12.7
Cambodia;KHM;LM;Asia;South-eastern Asia;-0.3;2.2;1.1
Cameroon;CMR;LM;Africa;Sub-Saharan Africa;-0.3;3.1;6.3
Egypt;EGY;LM;Africa;Northern Africa;-0.3;.;29.6
Iran;IRN;UM;Asia;Southern Asia;-0.3;4;27.6
Malaysia;MYS;UM;Asia;South-eastern Asia;-0.3;4.2;10.5
Poland;POL;H;Europe;Eastern Europe;-0.3;4.6;11.7
Vietnam;VNM;LM;Asia;South-eastern Asia;-0.3;4.2;6.9
Bosnia and Herzegovina;BIH;UM;Europe;Southern Europe;-0.4;.;33.8
China;CHN;UM;Asia;Eastern Asia;-0.4;.;.
Oman;OMN;H;Asia;Western Asia;-0.4;6.8;13.7
Sudan;SDN;L;Africa;Northern Africa;-0.4;.;.
Tanzania;TZA;LM;Africa;Sub-Saharan Africa;-0.4;3.4;3.9
Iraq;IRQ;UM;Asia;Western Asia;-0.5;.;25.6
Burkina Faso;BFA;L;Africa;Sub-Saharan Africa;-0.6;5.4;8.7
Cabo Verde;CPV;UM;Africa;Sub-Saharan Africa;-0.6;5.2;27.8
Colombia;COL;UM;Americas;Latin America and the Caribbean;-0.6;4.5;18.5
French Polynesia;PYF;H;Oceania;Polynesia;-0.7;.;56.7
Libya;LBY;UM;Africa;Northern Africa;-0.7;.;48.7
Niger;NER;L;Africa;Sub-Saharan Africa;-0.7;3.5;0.7
Burundi;BDI;L;Africa;Sub-Saharan Africa;-0.8;5.1;2.9
Mauritania;MRT;LM;Africa;Sub-Saharan Africa;-0.8;1.9;15.2
Mongolia;MNG;UM;Asia;Eastern Asia;-0.8;4.1;16.8
Algeria;DZA;UM;Africa;Northern Africa;-0.9;.;39.3
Congo, Democratic Republic of the;COD;L;Africa;Sub-Saharan Africa;-0.9;1.5;8.7
Congo, Republic of the;COG;LM;Africa;Sub-Saharan Africa;-0.9;3.5;.
Pakistan;PAK;LM;Asia;Southern Asia;-0.9;2.9;7.8
Uruguay;URY;H;Americas;Latin America and the Caribbean;-0.9;5;25.9
Belize;BLZ;UM;Americas;Latin America and the Caribbean;-1;7.6;15.3
Croatia;HRV;H;Europe;Southern Europe;-1;3.9;23.7
Laos;LAO;LM;Asia;South-eastern Asia;-1;2.9;18.2
Indonesia;IDN;UM;Asia;South-eastern Asia;-1.1;3.6;16.5
Tajikistan;TJK;LM;Asia;Central Asia;-1.1;5.2;.
Sierra Leone;SLE;L;Africa;Sub-Saharan Africa;-1.2;7.7;9.4
Curacao;CUW;H;Americas;Latin America and the Caribbean;-1.3;4.9;29.3
Senegal;SEN;LM;Africa;Sub-Saharan Africa;-1.3;4.8;8.1
Sri Lanka;LKA;LM;Asia;Southern Asia;-1.3;2.1;21
Vanuatu;VUT;LM;Oceania;Melanesia;-1.3;4.5;.
Burma;MMR;LM;Asia;South-eastern Asia;-1.4;1.9;2
Honduras;HND;LM;Americas;Latin America and the Caribbean;-1.4;6.1;10.7
Tunisia;TUN;LM;Africa;Northern Africa;-1.4;6.6;35
Gambia, The;GMB;L;Africa;Sub-Saharan Africa;-1.6;2.4;13.1
Ghana;GHA;LM;Africa;Sub-Saharan Africa;-1.6;4;9.1
Solomon Islands;SLB;LM;Oceania;Melanesia;-1.6;9.9;1.3
Guatemala;GTM;UM;Americas;Latin America and the Caribbean;-1.7;3.2;5
Mozambique;MOZ;L;Africa;Sub-Saharan Africa;-1.7;5.5;7.4
Saint Lucia;LCA;UM;Americas;Latin America and the Caribbean;-1.7;3.3;46.2
Turkmenistan;TKM;UM;Asia;Central Asia;-1.7;3.1;.
Kosovo;XKS;.;.;.;-1.8;.;55.4
Peru;PER;UM;Americas;Latin America and the Caribbean;-1.8;3.8;14.7
Philippines;PHL;LM;Asia;South-eastern Asia;-1.8;.;6.7
Haiti;HTI;LM;Americas;Latin America and the Caribbean;-1.9;2.8;.
Mexico;MEX;UM;Americas;Latin America and the Caribbean;-1.9;4.5;6.9
Morocco;MAR;LM;Africa;Northern Africa;-1.9;.;22.2
Uzbekistan;UZB;LM;Asia;Central Asia;-1.9;5.3;.
Comoros;COM;LM;Africa;Sub-Saharan Africa;-2.3;2.5;19.5
Nicaragua;NIC;LM;Americas;Latin America and the Caribbean;-2.4;4.4;8.5
Grenada;GRD;UM;Americas;Latin America and the Caribbean;-2.6;3.2;.
Dominican Republic;DOM;UM;Americas;Latin America and the Caribbean;-2.7;.;13.5
Kiribati;KIR;LM;Oceania;Micronesia;-2.8;.;17.1
Liberia;LBR;L;Africa;Sub-Saharan Africa;-2.9;2.6;2.3
Bangladesh;BGD;LM;Asia;Southern Asia;-3;1.3;12.8
Saint Barthelemy;BLM;.;Americas;Latin America and the Caribbean;-3;.;.
Estonia;EST;H;Europe;Northern Europe;-3.1;5;11.8
Nepal;NPL;LM;Asia;Southern Asia;-3.1;5.1;21.4
Albania;ALB;UM;Europe;Southern Europe;-3.3;3.6;31.9
Gibraltar;GIB;H;Europe;Southern Europe;-3.3;.;.
Kuwait;KWT;H;Asia;Western Asia;-3.3;.;15.4
Rwanda;RWA;L;Africa;Sub-Saharan Africa;-3.3;3.1;20.6
Venezuela;VEN;.;Americas;Latin America and the Caribbean;-3.4;.;14.6
Uganda;UGA;L;Africa;Sub-Saharan Africa;-3.5;2.1;14.8
Cuba;CUB;UM;Americas;Latin America and the Caribbean;-3.7;12.8;6.1
Guinea-Bissau;GNB;L;Africa;Sub-Saharan Africa;-3.8;2.1;.
Somalia;SOM;L;Africa;Sub-Saharan Africa;-3.8;.;.
Mali;MLI;L;Africa;Sub-Saharan Africa;-3.9;3.8;16.9
Timor-Leste;TLS;LM;Asia;South-eastern Asia;-3.9;6.8;13.2
