"","country","ISO3","continent","subcontinent","status","expenditure","youth_unempl_rate","net_migr_rate","low_yu","high_nmr"
"217","Uruguay","URY","Americas","Latin America and the Caribbean","H",5,25.9,-0.9,"no","no"
"218","Uzbekistan","UZB","Asia","Central Asia","LM",5.3,.,-1.9,.,"no"
"219","Vanuatu","VUT","Oceania","Melanesia","LM",4.5,.,-1.3,.,"no"
"220","Venezuela","VEN","Americas","Latin America and the Caribbean",.,.,14.6,-3.4,"no","no"
"221","Vietnam","VNM","Asia","South-eastern Asia","LM",4.2,6.9,-0.3,"yes","no"
"222","Virgin Islands","VIR","Americas","Latin America and the Caribbean","H",.,.,-7.5,.,"no"
"223","Wallis and Futuna","WLF","Oceania","Polynesia",.,.,.,-4.3,.,"no"
"224","West Bank","PSE","Asia","Western Asia","LM",5.3,42.2,-4.2,"no","no"
"225","Yemen","YEM","Asia","Western Asia","L",.,24.5,-0.2,"no","no"
"226","Zambia","ZMB","Africa","Sub-Saharan Africa","LM",4.6,24,0,"no","yes"
"227","Zimbabwe","ZWE","Africa","Sub-Saharan Africa","LM",5.9,16.5,-5,"no","no"
